DNPF#,plot,depth,treatment,trt,c_percent,n_percent,CtoN,LFRAC_C%,LFRAC_N%,IFRAC_C%,IFRAC_N%,HFRAC_C%,HFRAC_N%,LF_PROP,IF_PROP,HF_PROP,BULK_C%_CALC_FROM_FRACS
50,12,20-40,Control,CTL,2.3,0.13,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,8,20-40,Control,CTL,1.98,0.13,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,17,20-40,Double Litter,DL,1.91,0.12,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,13,20-40,Double Litter,DL,1.63,0.09,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,2,20-40,Double Litter,DL,2.22,0.13,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,16,20-40,Double Wood,DW,3.32,0.17,19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,5,20-40,Double Wood,DW,2.1,0.12,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,10,20-40,Double Wood,DW,1.59,0.09,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,19,20-40,No Input,NI,2.06,0.1,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,69,20-40,No Input,NI,1.39,0.09,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,49,20-40,No Input,NI,1.09,0.08,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,3,20-40,No Litter,NL,2.25,0.12,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,7,20-40,No Litter,NL,1.41,0.1,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,11,20-40,No Litter,NL,1.75,0.11,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,18,20-40,No OA,NOA,1.9,0.1,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,15,20-40,No OA,NOA,2.19,0.1,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,9,20-40,No OA,NOA,1.13,0.08,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,1,20-40,No Root,NR,2.41,0.14,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,6,20-40,No Root,NR,2.05,0.13,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,4,20-40,No Root,NR,1.82,0.13,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,8,40-60,Control,CTL,1.19,0.07,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,12,40-60,Control,CTL,1.69,0.11,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,14,40-60,Control,CTL,0.99,0.07,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,2,40-60,Double Litter,DL,1.32,0.09,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,13,40-60,Double Litter,DL,0.94,0.05,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,17,40-60,Double Litter,DL,1,0.07,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,5,40-60,Double Wood,DW,0.83,0.06,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,10,40-60,Double Wood,DW,1.18,0.07,17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,16,40-60,Double Wood,DW,2.03,0.1,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,19,40-60,No Input,NI,0.82,0.05,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,49,40-60,No Input,NI,0.6,0.05,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,69,40-60,No Input,NI,0.73,0.05,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,3,40-60,No Litter,NL,1.72,0.11,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,7,40-60,No Litter,NL,0.71,0.05,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,11,40-60,No Litter,NL,1.02,0.07,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,9,40-60,No OA,NOA,1.21,0.08,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,15,40-60,No OA,NOA,1.4,0.07,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,18,40-60,No OA,NOA,0.98,0.06,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,1,40-60,No Root,NR,0.94,0.06,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,4,40-60,No Root,NR,1,0.07,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,6,40-60,No Root,NR,0.8,0.06,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,8,60-100,Control,CTL,0.56,0.04,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,12,60-100,Control,CTL,0.8,0.06,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,14,60-100,Control,CTL,0.53,0.04,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,2,60-100,Double Litter,DL,1.01,0.06,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,13,60-100,Double Litter,DL,0.5,0.03,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,17,60-100,Double Litter,DL,0.92,0.07,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,5,60-100,Double Wood,DW,0.47,0.03,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,10,60-100,Double Wood,DW,0.77,0.06,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,16,60-100,Double Wood,DW,1.25,0.08,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,19,60-100,No Input,NI,0.62,0.05,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,49,60-100,No Input,NI,0.34,0.03,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,69,60-100,No Input,NI,0.28,0.03,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,3,60-100,No Litter,NL,0.44,0.03,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,7,60-100,No Litter,NL,0.32,0.03,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,11,60-100,No Litter,NL,0.72,0.04,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,9,60-100,No OA,NOA,0.66,0.06,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,15,60-100,No OA,NOA,0.36,0.02,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,18,60-100,No OA,NOA,0.65,0.04,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,1,60-100,No Root,NR,0.58,0.04,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,4,60-100,No Root,NR,0.41,0.03,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,6,60-100,No Root,NR,0.4,0.03,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
